i,segment,x,y,kappa,front_2ws,rear_2ws,vel_2ws,front_4ws,rear_4ws,vel_4ws,d_front,d_vel,vel_ratio
80,straight2,3,6.5,0,0,0,1.61634,0,0,1.41357,0,-0.202765,0.874553
81,straight2,3,7,0,0,0,1.90029,0,0,1.7389,0,-0.161393,0.915069
82,straight2,3,7.5,0,0,0,2.19527,0,0,2.12287,0,-0.0723953,0.967022
83,straight2,3,8,0,0,0,2.50126,0,0,2.46939,0,-0.0318685,0.987259
84,straight2,3,8.5,0,0,0,2.82503,0,0,2.81091,0,-0.0141182,0.995002
85,straight2,3,9,0,0,0,3.17584,0,0,3.16967,0,-0.00617099,0.998057
86,straight2,3,9.5,0,0,0,3.56586,0,0,3.56327,0,-0.00258398,0.999275
87,straight2,3,10,0,0,0,4.01211,0,0,4.01111,0,-0.00100231,0.99975
88,straight2,3,10.5,0,0,0,4.54025,0,0,4.5399,0,-0.000346184,0.999924
89,straight2,3,11,0,0,0,5.19224,0,0,5.19214,0,-0.000100613,0.999981
90,straight2,3,11.5,0,0,0,8.78756,0,0,8.78756,0,-9.53674e-07,1
91,straight2,3,12,0,0,0,10,0,0,10,0,0,1
92,straight2,3,12.5,0,0,0,10,0,0,10,0,0,1
93,straight2,3,13,0,0,0,10,0,0,10,0,0,1
94,straight2,3,13.5,0,0,0,10,0,0,10,0,0,1
95,straight2,3,14,0,0,0,10,0,0,10,0,0,1
96,straight2,3,14.5,0,0,0,10,0,0,10,0,0,1
97,straight2,3,15,0,0,0,10,0,0,10,0,0,1
98,straight2,3,15.5,0,0,0,10,0,0,10,0,0,1
99,straight2,3,16,0,0,0,10,0,0,10,0,0,1
