i,x,y,front_wheel_angle_rad,rear_wheel_angle_rad,longitudinal_velocity_mps,acceleration_mps2
55,-10.435388209873064,17.45237161557613,-0.13102342188358307,0.007970997132360935,2.1061973571777344,0.43765419721603394
56,-10.473912653376518,17.319375719747583,-0.11968348175287247,0.0056922477670013905,2.1336052417755127,0.43541887402534485
57,-10.513198373592196,17.18662145960705,-0.11761573702096939,0.005378024186939001,2.1622393131256104,0.40909671783447266
58,-10.553359919350099,17.054136912807564,-0.11554799973964691,0.005063800606876612,2.190873622894287,0.38277456164360046
59,-10.594553306370186,16.921948044265314,-0.11063232272863388,0.004512932151556015,2.21634578704834,0.3462892174720764
60,-10.636335076164654,16.78995486494704,-0.10346656292676926,0.0037750969640910625,2.2393195629119873,0.30177417397499084
61,-10.679158831326232,16.6583024862447,-0.09630081057548523,0.0030372615437954664,2.2622933387756348,0.25725916028022766
62,-10.723224148243771,16.527051229171747,-0.07452213019132614,0.002149594249203801,2.2796950340270996,0.21268875896930695
63,-10.767666009498528,16.395932351088984,-0.04554934427142143,0.001188162830658257,2.294353723526001,0.16809110343456268
64,-10.812478581701223,16.264941264821694,-0.016576554626226425,0.0002267313248012215,2.3090121746063232,0.12349344789981842
65,-10.85763125575063,16.134064667291213,-0.0051767416298389435,1.1577055374800693e-05,2.3175148963928223,0.08542319387197495
66,-10.902861362764314,16.003215226687356,0.0013122932286933064,4.9703339755069464e-06,2.3242971897125244,0.04917703568935394
67,-10.948041497424466,15.87234848413219,0.0078013283200562,-1.6363873100999626e-06,2.3310794830322266,0.012930876575410366
68,-10.993053964470516,15.741424188888997,0.022809939458966255,-0.00018287728016730398,2.332284927368164,-0.008370880968868732
69,-11.037929195241206,15.61045299166427,0.038839034736156464,-0.0003850360808428377,2.332822322845459,-0.02788257971405983
70,-11.082791720020541,15.479475983804027,0.05472420156002045,-0.0005853914772160351,2.3333446979522705,-0.047248825430870056
71,-11.127083934271848,15.34830935323903,0.038608208298683167,-0.0003847857005894184,2.330533027648926,-0.03427525609731674
72,-11.170568777207437,15.216871138042547,0.022492218762636185,-0.00018417995306663215,2.327721118927002,-0.021301690489053726
73,-11.213818365212875,15.085341636338086,0.009274366311728954,-0.00021749934239778668,2.325167179107666,-0.009772012010216713
74,-11.2560818215825,14.953246608728941,0.018154941499233246,-0.0020345079246908426,2.3245797157287598,-0.009252057410776615
75,-11.296632139744577,14.820248930196348,0.02703551948070526,-0.003851516405120492,2.3239922523498535,-0.008732102811336517
76,-11.335448540557932,14.686406232669198,0.03591609373688698,-0.005668525118380785,2.323404550552368,-0.00821214821189642
77,-11.37251024488139,14.551776148076378,0.044796671718358994,-0.007485533598810434,2.322817087173462,-0.007692194078117609
78,-11.407796473573777,14.416416308346783,0.05367724969983101,-0.009302542544901371,2.3222296237945557,-0.007172239478677511
79,-11.441286447493923,14.2803843454093,0.06255782395601273,-0.01111955102533102,2.3216419219970703,-0.006652284879237413
80,-11.47295938750065,14.14373789119282,0.07143840193748474,-0.01293655950576067,2.321054458618164,-0.006132330279797316
