t,angle
49.15138077735901,5.229599050248114e-25
49.1763129234314,4.745046169596765e-25
49.20123052597046,4.3066184791117545e-25
49.22628140449524,3.9069112866024187e-25
49.25130820274353,3.5458890933280226e-25
49.276326417922974,3.216702614478985e-25
49.30133628845215,2.920081792911668e-25
49.32608366012573,2.6486971247404367e-25
49.35119390487671,2.4038595981821557e-25
49.37751483917236,2.171239308374452e-25
49.401264667510986,1.9797581147740245e-25
49.42619872093201,1.7956244209486318e-25
49.45122265815735,1.6296007548358177e-25
49.47613573074341,1.4787219855080826e-25
49.501081466674805,1.3421946914580971e-25
49.5265896320343,1.2176464967729257e-25
49.55133104324341,1.1049483487388546e-25
49.57618308067322,1.002614538774465e-25
49.604347705841064,8.98242324556936e-26
49.62671947479248,8.252145739619906e-26
49.65126991271973,7.489153309114321e-26
49.67615485191345,6.795917136748069e-26
49.701090574264526,6.167026129749399e-26
49.72630977630615,5.586328977381493e-26
49.75138974189758,5.065563067097424e-26
49.775941133499146,4.6076265382775066e-26
49.80133295059204,4.181831469113479e-26
49.82626032829285,3.793771684610215e-26
49.851645946502686,3.442411804829612e-26
49.87696623802185,3.1222590775702774e-26
49.90216636657715,2.827792709090829e-26
49.926472902297974,2.5715503492548314e-26
49.95142865180969,2.3337457641856286e-26
49.97632336616516,2.116967711877268e-26
50.000938415527344,1.9223466361699067e-26
50.02609992027283,1.7441719236668438e-26
50.051358699798584,1.5809775564944113e-26
50.076178312301636,1.434688386076228e-26
50.10109806060791,1.3022694549687302e-26
50.12598538398743,1.1821299450378544e-26
50.151219844818115,1.0726935981799163e-26
50.17612290382385,9.73410291765601e-27
50.201160192489624,8.835172804997334e-27
50.22605895996094,8.014440070312647e-27
50.25171136856079,7.269452619596754e-27
50.27600049972534,6.599212821138463e-27
50.30199670791626,5.989647904834137e-27
50.32771611213684,5.4328188022670214e-27
50.35093712806702,4.9319753276252764e-27
50.379032373428345,4.44862199318049e-27
50.40320801734924,4.060838309994053e-27
50.4268581867218,3.682969699347311e-27
50.451600551605225,3.342877434187746e-27
50.476136207580566,3.03280483166434e-27
50.500977993011475,2.7530084256456847e-27
50.52641534805298,2.4972035215372554e-27
50.552032232284546,2.2658197943096452e-27
50.57663679122925,2.056134171614485e-27
50.60139083862305,1.8665130796729452e-27
50.62661266326904,1.693287814533963e-27
50.652100801467896,1.5360923532116074e-27
50.67616558074951,1.393463374134133e-27
50.70132112503052,1.2654278403207612e-27
50.726264238357544,1.1479309951630764e-27
50.75170087814331,1.0416166770414872e-27
50.7760443687439,9.452222462844533e-28
50.80144000053406,8.575365818464468e-28
50.826894998550415,7.782482608554604e-28
50.852046966552734,7.06112121454199e-28
50.87646698951721,6.407812073631813e-28
50.9013569355011,5.816466839787378e-28
50.92597699165344,5.276612305971109e-28
50.95199680328369,4.786760209818479e-28
50.97660827636719,-0.02773846685886383
51.002803325653076,-0.052904415875673294
51.02902579307556,-0.07586748898029327
51.05364441871643,-0.09672748297452927
51.08139944076538,-0.11776288598775864
51.102842569351196,-0.13256356120109558
51.126126289367676,-0.14804713428020477
51.15131878852844,-0.16211040318012238
51.17608666419983,-0.17485623061656952
51.20115089416504,-0.18642224371433258
51.226556062698364,-0.19719097018241882
51.25102758407593,-0.206508070230484
51.27848243713379,-0.2155606746673584
51.30107307434082,-0.22299525141716003
51.32622528076172,-0.23014578223228455
51.35105109214783,-0.23659883439540863
51.376128911972046,-0.24248892068862915
51.4019091129303,-0.24795906245708466
51.426472425460815,-0.2526944577693939
51.45139980316162,-0.25702884793281555
51.47608995437622,-0.26100894808769226
51.50111985206604,-0.2646045684814453
51.526336908340454,-0.2678970992565155
51.551546573638916,-0.27086883783340454
51.57743453979492,-0.273565411567688
51.60124754905701,-0.2760061025619507
51.62695598602295,-0.2782379388809204
51.652350187301636,-0.28025001287460327
51.68022966384888,-0.28207507729530334
51.706907510757446,-0.2837356626987457
51.7264506816864,-0.2852456867694855
51.75204515457153,-0.28661125898361206
51.77629065513611,-0.28784894943237305
51.80300712585449,-0.2889821529388428
51.82915639877319,-0.28999418020248413
51.854671239852905,-0.2909232974052429
51.88125729560852,-0.2917627990245819
51.90263605117798,-0.29252251982688904
51.92705059051514,-0.29321715235710144
51.95154070854187,-0.2938470244407654
51.97705674171448,-0.2944144904613495
52.00132155418396,-0.2949307858943939
52.0264835357666,-0.29540133476257324
52.051435470581055,-0.29582715034484863
52.077077865600586,-0.29621389508247375
52.10331702232361,-0.2965652048587799
52.12643623352051,-0.29688194394111633
52.151628255844116,-0.29717108607292175
52.176445722579956,-0.2974329888820648
52.20116376876831,-0.2976696789264679
52.226441621780396,-0.2978861927986145
52.25138473510742,-0.29808181524276733
52.28081727027893,-0.29828178882598877
52.30407476425171,-0.29842036962509155
52.32911252975464,-0.29856762290000916
52.3533992767334,-0.2987000048160553
52.376869440078735,-0.29882025718688965
52.403764963150024,-0.2989291250705719
52.42757177352905,-0.29902881383895874
52.454370975494385,-0.29911860823631287
52.47825622558594,-0.29920026659965515
52.50437617301941,-0.29927411675453186
52.52790832519531,-0.2993415594100952
52.55202102661133,-0.2994024455547333
52.57584238052368,-0.2994575798511505
52.600971698760986,-0.2995077669620514
52.626460552215576,-0.2995535433292389
52.653136253356934,-0.2995948791503906
52.677738428115845,-0.29963257908821106
52.70100021362305,-0.29966628551483154
52.726221323013306,-0.2996973395347595
52.751230239868164,-0.29972532391548157
52.77617001533508,-0.29975074529647827
52.80198001861572,-0.2997737526893616
52.82868456840515,-0.2997948229312897
52.852417945861816,-0.29981377720832825
52.87783765792847,-0.29983097314834595
52.90129828453064,-0.29984667897224426
52.92681312561035,-0.2998608946800232
52.95163345336914,-0.2998737692832947
52.976325273513794,-0.29988545179367065
53.00146746635437,-0.2998960316181183
53.02593445777893,-0.2999056577682495
53.05161905288696,-0.2999144196510315
53.076406955718994,-0.2999223470687866
53.10168170928955,-0.29992952942848206
53.126633405685425,-0.29993605613708496
53.151365518569946,-0.2999419867992401
53.17652368545532,-0.2999473512172699
53.20181679725647,-0.29995226860046387
53.228222608566284,-0.29995667934417725
53.25200390815735,-0.2999606728553772
53.277029514312744,-0.2999643385410309
53.30140709877014,-0.29996761679649353
53.32899045944214,-0.2999706268310547
53.353557109832764,-0.29997333884239197
53.37898802757263,-0.29997581243515015
53.401875257492065,-0.2999780476093292
53.42759943008423,-0.299980103969574
53.451624393463135,-0.2999819219112396
53.47824048995972,-0.2999836206436157
53.50335502624512,-0.2999851405620575
53.5281822681427,-0.29998651146888733
53.55362010002136,-0.2999877631664276
53.578697681427,-0.29998889565467834
53.604580879211426,-0.2999899089336395
53.62936496734619,-0.29999086260795593
53.65485501289368,-0.2999916970729828
53.677443504333496,-0.29999247193336487
53.70227813720703,-0.2999931573867798
53.72739243507385,-0.2999938130378723
53.7533004283905,-0.2999943792819977
53.77836489677429,-0.29999488592147827
53.802576541900635,-0.2999953627586365
53.83100247383118,-0.2999958097934723
